,insertion_timestamp,device_id,Soil moisture,device_name
121,2025-01-13T19:43:30.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,40,Moisture Sensor
122,2025-01-13T19:43:31.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,40,Moisture Sensor
123,2025-01-13T19:43:32.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,40,Moisture Sensor
124,2025-01-13T19:43:33.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,40,Moisture Sensor
125,2025-01-13T19:43:34.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,40,Moisture Sensor
126,2025-01-13T19:43:35.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,40,Moisture Sensor
127,2025-01-13T19:43:36.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,40,Moisture Sensor
128,2025-01-13T19:43:37.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,40,Moisture Sensor
129,2025-01-13T19:43:38.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,40,Moisture Sensor
130,2025-01-13T19:43:39.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,41,Moisture Sensor
131,2025-01-13T19:43:40.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,40,Moisture Sensor
132,2025-01-13T19:43:41.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,41,Moisture Sensor
133,2025-01-13T19:43:42.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,40,Moisture Sensor
134,2025-01-13T19:43:43.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,41,Moisture Sensor
135,2025-01-13T19:43:44.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,40,Moisture Sensor
136,2025-01-13T19:43:45.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,41,Moisture Sensor
137,2025-01-13T19:43:46.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,40,Moisture Sensor
138,2025-01-13T19:43:47.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,41,Moisture Sensor
139,2025-01-13T19:43:48.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,40,Moisture Sensor
140,2025-01-13T19:43:49.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,41,Moisture Sensor
141,2025-01-13T19:43:50.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,40,Moisture Sensor
142,2025-01-13T19:43:51.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,41,Moisture Sensor
143,2025-01-13T19:43:52.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,40,Moisture Sensor
144,2025-01-13T19:43:53.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,41,Moisture Sensor
145,2025-01-13T19:43:54.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,41,Moisture Sensor
146,2025-01-13T19:43:55.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,41,Moisture Sensor
147,2025-01-13T19:43:56.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,40,Moisture Sensor
148,2025-01-13T19:43:57.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,41,Moisture Sensor
149,2025-01-13T19:43:58.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,40,Moisture Sensor
150,2025-01-13T19:43:59.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,41,Moisture Sensor
151,2025-01-13T19:44:00.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,40,Moisture Sensor
152,2025-01-13T19:44:01.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,41,Moisture Sensor
153,2025-01-13T19:44:02.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,41,Moisture Sensor
154,2025-01-13T19:44:03.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,41,Moisture Sensor
155,2025-01-13T19:44:04.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,41,Moisture Sensor
156,2025-01-13T19:44:05.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,41,Moisture Sensor
157,2025-01-13T19:44:06.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,41,Moisture Sensor
158,2025-01-13T19:44:07.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,41,Moisture Sensor
159,2025-01-13T19:44:08.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,41,Moisture Sensor
